,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
27,Best,Good Riddance,Gracie Abrams,2023-02-24,233499,69,0.836,0.597,0.368,9.03e-05,0.11,-10.575,0.0369,121.918,4
28,Same Boat,Give Me A Minute,Lizzy McAlpine,2020-08-13,202800,58,0.927,0.47,0.148,0.0,0.0989,-11.915,0.0459,94.585,4
29,emblem,flounder,quinnie,2023-02-24,205453,40,0.778,0.437,0.451,0.00249,0.123,-8.165,0.0524,122.95,3
30,Angelina,When The World Stopped Moving: The Live EP,Lizzy McAlpine,2021-04-21,225500,59,0.929,0.416,0.121,2.12e-05,0.109,-16.499,0.0564,170.251,3
31,Coming Back to Me,Motherwell,Leith Ross,2020-10-16,237532,46,0.932,0.421,0.076,4.73e-06,0.701,-19.132,0.0494,110.417,3
32,all my ghosts,five seconds flat,Lizzy McAlpine,2022-04-08,197032,65,0.342,0.638,0.293,0.000624,0.448,-11.703,0.0478,155.083,4
33,Mess It Up,Mess It Up,Gracie Abrams,2021-05-07,171280,70,0.245,0.765,0.582,8.21e-05,0.154,-4.528,0.12,132.992,4
34,Over-the-Ocean Call,Over-the-Ocean Call,Lizzy McAlpine,2020-07-13,244402,59,0.806,0.701,0.343,9.56e-05,0.284,-12.066,0.112,92.012,4
35,Show Up,Show Up,Samia,2021-06-01,201053,47,0.201,0.538,0.431,1.53e-05,0.11,-8.732,0.0288,82.976,4
36,Dancing Queen,vol. 17,stories,2021-09-28,185536,36,0.905,0.436,0.134,0.0,0.108,-15.574,0.0664,201.256,4
37,Coffee Stained Smile,Coffee Stained Smile,Delaney Bailey,2021-01-22,180912,58,0.887,0.431,0.0586,1.79e-05,0.0947,-18.132,0.0445,111.072,3
38,Hope - Acoustic,Hope (Acoustic),Tom Rosenthal,2020-05-15,223933,48,0.954,0.593,0.139,0.00071,0.333,-13.436,0.0397,137.848,4
39,Right now,Good Riddance,Gracie Abrams,2023-02-24,350836,63,0.834,0.229,0.464,0.33,0.067,-11.696,0.0685,78.733,4
40,How Do I Tell You?,Give Me A Minute,Lizzy McAlpine,2020-08-13,186866,52,0.921,0.551,0.162,2.49e-06,0.141,-13.746,0.0623,165.422,4
41,better,flounder,quinnie,2023-02-24,294560,40,0.935,0.562,0.403,0.0336,0.174,-11.073,0.025,98.005,4
42,Let Light Be Light,When The World Stopped Moving: The Live EP,Lizzy McAlpine,2021-04-21,180482,52,0.877,0.499,0.207,0.0,0.11,-11.995,0.0434,67.414,4
43,Anti-Curse,the record,boygenius,2023-03-31,198546,64,0.0439,0.533,0.597,0.23,0.114,-9.923,0.046,114.814,4
44,reckless driving,five seconds flat,Lizzy McAlpine,2022-04-08,189247,66,0.684,0.532,0.39,0.0,0.184,-10.495,0.234,199.956,4
45,August (feat. Adam Melchor),August (feat. Adam Melchor),Madeline The Person,2021-08-13,221599,36,0.818,0.454,0.525,3.13e-05,0.142,-6.585,0.0495,125.993,4
46,Next to Me,Forever Summer,CanVas,2019-10-13,106971,31,0.849,0.486,0.389,0.0,0.19,-10.749,0.074,84.1,4
47,Used To Be Friends,Guard Dog,Searows,2022-09-30,335503,50,0.918,0.487,0.238,0.000221,0.0978,-14.761,0.0294,58.292,4
48,head trauma,head trauma,nic violets,2020-09-24,144625,32,0.12,0.533,0.634,0.0,0.342,-7.761,0.0289,89.937,4
49,Loving & Losing,Loving & Losing,Delaney Bailey,2020-06-20,184971,50,0.985,0.462,0.0451,0.000403,0.0934,-22.678,0.0464,69.845,4
